"sweep","stim_index_70.x","tech_rep.x","origin_stim_label","origin_wavelength","origin_stimulus_ND","stim_index_70.y","tech_rep.y","zeus_wavelength","zeus_stimulus_ND","zeus_stim_label","label_match","wavelength_match","nd_match"
238,60,2,"450 3.5","450",3.5,60,2,"450",3.5,"450 3.5",TRUE,TRUE,TRUE
239,60,3,"450 3.5","450",3.5,60,3,"450",3.5,"450 3.5",TRUE,TRUE,TRUE
240,60,4,"450 3.5","450",3.5,60,4,"450",3.5,"450 3.5",TRUE,TRUE,TRUE
241,61,1,"450 3.0","450",3,61,1,"450",3,"450 3.0",TRUE,TRUE,TRUE
242,61,2,"450 3.0","450",3,61,2,"450",3,"450 3.0",TRUE,TRUE,TRUE
243,61,3,"450 3.0","450",3,61,3,"450",3,"450 3.0",TRUE,TRUE,TRUE
244,61,4,"450 3.0","450",3,61,4,"450",3,"450 3.0",TRUE,TRUE,TRUE
245,62,1,"450 2.5","450",2.5,62,1,"450",2.5,"450 2.5",TRUE,TRUE,TRUE
246,62,2,"450 2.5","450",2.5,62,2,"450",2.5,"450 2.5",TRUE,TRUE,TRUE
247,62,3,"450 2.5","450",2.5,62,3,"450",2.5,"450 2.5",TRUE,TRUE,TRUE
248,62,4,"450 2.5","450",2.5,62,4,"450",2.5,"450 2.5",TRUE,TRUE,TRUE
249,63,1,"450 2.0","450",2,63,1,"450",2,"450 2.0",TRUE,TRUE,TRUE
250,63,2,"450 2.0","450",2,63,2,"450",2,"450 2.0",TRUE,TRUE,TRUE
251,63,3,"450 2.0","450",2,63,3,"450",2,"450 2.0",TRUE,TRUE,TRUE
252,63,4,"450 2.0","450",2,63,4,"450",2,"450 2.0",TRUE,TRUE,TRUE
253,64,1,"370 5.0","370",5,64,1,"370",5,"370 5.0",TRUE,TRUE,TRUE
254,64,2,"370 5.0","370",5,64,2,"370",5,"370 5.0",TRUE,TRUE,TRUE
255,64,3,"370 5.0","370",5,64,3,"370",5,"370 5.0",TRUE,TRUE,TRUE
256,64,4,"370 5.0","370",5,64,4,"370",5,"370 5.0",TRUE,TRUE,TRUE
257,65,1,"370 4.5","370",4.5,65,1,"370",4.5,"370 4.5",TRUE,TRUE,TRUE
258,65,2,"370 4.5","370",4.5,65,2,"370",4.5,"370 4.5",TRUE,TRUE,TRUE
259,65,3,"370 4.5","370",4.5,65,3,"370",4.5,"370 4.5",TRUE,TRUE,TRUE
260,65,4,"370 4.5","370",4.5,65,4,"370",4.5,"370 4.5",TRUE,TRUE,TRUE
261,66,1,"370 4.0","370",4,66,1,"370",4,"370 4.0",TRUE,TRUE,TRUE
